id,message,category,priority
164,Some pages are loading slowly.,Technical Issue,Low
165,The website response is slow.,Technical Issue,Low
166,The app is a little slow.,Technical Issue,Low
167,The page is taking too long to load.,Technical Issue,Low
168,The website sometimes shows errors.,Technical Issue,Medium
169,I keep getting an error on the website.,Technical Issue,Medium
170,The app displays an error message.,Technical Issue,Medium
171,The application has stopped responding.,Technical Issue,Medium
172,The website is not responding properly.,Technical Issue,Medium
173,The app sometimes freezes.,Technical Issue,Medium
174,The website occasionally shows an error.,Technical Issue,Medium
175,The application is having occasional problems.,Technical Issue,Medium
